Airportname,Year,month,value
Bogorodskoe,2019,4,0.09
Bugulma,2019,4,1.61
Vladivostok (Knevichi),2019,4,1687.58
Volgograd (Gumrak),2019,4,78.0
Vorkuta,2019,4,3.2
Voronezh (Chertovitskoe),2019,4,19.08
Ekaterinburg (Koltsovo),2019,4,1520.75
Zeyskaya,2019,4,1.57
Ivanovo (Yuzhny),2019,4,52.34
Irkutsk,2019,4,745.31
Kaluga (Grabtsevo),2019,4,1.71
Kemerovo,2019,4,109.69
Keperveem,2019,4,145.0
Kirov (Pobedilovo),2019,4,6.8
Kogalym,2019,4,3.47
Komsomolsk-on-Amur,2019,4,186.0
Krasnodar (Paszkowski),2019,4,561.64
Krasnoyarsk,2019,4,1421.23
Krasnoyarsk (Cheremshanka),2019,4,62.59
Kursk (Eastern),2019,4,0.2
red,2019,4,1.87
Zabaykalsk,2019,4,43.15
Magadan (Falcon),2019,4,656.0
Makhachkala (Uytash),2019,4,234.2
Mineral water,2019,4,122.38
Peaceful,2019,4,602.78
Moscow (Vnukovo),2019,4,4274.35
Moscow (Domodedovo),2019,4,8378.11
Moscow (Sheremetyevo),2019,4,28634.2
Murmansk,2019,4,157.24
Nadym,2019,4,27.78
Nizhnevartovsk,2019,4,210.7
Kazan (Begiševo),2019,4,45.11
Nizhny Novgorod (Strigino),2019,4,61.62
Nikolaevsk-on-Amur,2019,4,4.15
Novokuznetsk (Spichenkovo),2019,4,88.9
Novosibirsk (Tolmachyovo),2019,4,2078.4
New Urengoy,2019,4,412.5
Nogliki,2019,4,2.89
Norilsk,2019,4,1258.39
Noyabrsk,2019,4,48.4
Omolon,2019,4,4.0
Omsk (central),2019,4,280.0
Omsukçan,2019,4,4.0
Orenburg (central),2019,4,101.39
Okha,2019,4,5.49
Okhotsk,2019,4,99.02
Penza,2019,4,0.02
Petropavlovsk (Yelizovo),2019,4,588.08
Pauline Osipenko,2019,4,0.0
Polar,2019,4,50.12
Samara (Kurumoch),2019,4,229.0
Saint Petersburg (Pulkovo),2019,4,2216.0
Saransk,2019,4,0.0
Saratov (central),2019,4,31.0
Sochi,2019,4,187.63
Stavropol (Shpakovskoye),2019,4,68.0
Strezhevoy,2019,4,2.7
Surgut,2019,4,271.03
Syktyvkar,2019,4,50.3
Tiksi,2019,4,31.47
Tomsk (Bogashevo),2019,4,146.75
Ust-Tsilma,2019,4,0.0
Tyumen (Roschino),2019,4,291.3
Ulyanovsk (Barataevka),2019,4,21.13
Ulyanovsk (East),2019,4,38.5
Ufa,2019,4,355.43
Khabarovsk (MVL),2019,4,0.0
Khabarovsk (New),2019,4,1565.66
Khanty-Mansiysk,2019,4,44.59
Khatanga,2019,4,0.0
Herpuchi,2019,4,0.21
Cheboksary,2019,4,3.6
Chelyabinsk (Balandino),2019,4,240.19
Reads (tub),2019,4,231.02
Çumikan,2019,4,1.93
Shakhtars'k,2019,4,0.03
Shushenskoe,2019,4,0.0
Ekimçan,2019,4,0.0
Yuzhno-(Khomutovo),2019,4,1115.86
Yakutsk,2019,4,646.55
Yamburg,2019,4,0.07
Yaroslavl (Tunoshna),2019,4,22.6
Abakan,2018,4,88.62
Anapa (Vitjazevo),2018,4,61.64
Arkhangelsk (Talagy),2018,4,211.94
Astrakhan (Narimanovo),2018,4,69.69
Trip,2018,4,0.0
Barnaul (Titov Name),2018,4,0.0
Belgorod,2018,4,0.0
Novy Urengoy,2018,4,9.6
Blagoveshchensk,2018,4,186.9
Bogorodskoe,2018,4,0.0
Bugulma,2018,4,1.1
Vladivostok (Knevichi),2018,4,1759.2
Volgograd (Gumrak),2018,4,70.0
Vorkuta,2018,4,3.67
Voronezh (Chertovitskoe),2018,4,15.98
Ekaterinburg (Koltsovo),2018,4,1600.5
Zeyskaya,2018,4,0.0
Ivanovo (Yuzhny),2018,4,0.09
Irkutsk,2018,4,708.59
Kaluga,2018,4,0.0
Kemerovo,2018,4,114.36
Keperveem,2018,4,124.0
Kogalym,2018,4,9.99
Komsomolsk-on-Amur,2018,4,179.02
Krasnodar (Paszkowski),2018,4,637.57
Krasnoyarsk (Emelyanovo),2018,4,1273.17
Kursk (Eastern),2018,4,0.0
red,2018,4,0.52
Zabaykalsk,2018,4,41.68
Magadan (Falcon),2018,4,0.0
Makhachkala (Uytash),2018,4,78.7
Mineral water,2018,4,118.23
Peaceful,2018,4,785.74
Moscow (Vnukovo),2018,4,5522.41
Moscow (Domodedovo),2018,4,9397.39
Moscow (Sheremetyevo),2018,4,24709.4
Murmansk,2018,4,225.06
Nadym,2018,4,31.45
Nizhnevartovsk,2018,4,334.2
Nizhny Novgorod (Strigino),2018,4,69.95
Nikolaevsk-on-Amur,2018,4,4.2
Novokuznetsk,2018,4,92.1
Novosibirsk (Tolmachyovo),2018,4,2176.7
New Urengoy,2018,4,450.5
Nogliki,2018,4,0.0
Norilsk,2018,4,1051.95
Noyabrsk,2018,4,53.19
Omolon,2018,4,0.0
Omsk (central),2018,4,265.0
Omsukçan,2018,4,0.0
Orenburg (central),2018,4,102.49
Okha,2018,4,0.0
Okhotsk,2018,4,0.0
Perm (Bolshoye Savino),2018,4,181.91
Petropavlovsk (Yelizovo),2018,4,535.81
Pauline Osipenko,2018,4,0.0
Polar,2018,4,30.26
Samara (Kurumoch),2018,4,237.83
Saint Petersburg (Pulkovo),2018,4,2243.0
Saratov (central),2018,4,38.1
Sochi,2018,4,164.17
Stavropol (Shpakovskoye),2018,4,67.0
Strezhevoy,2018,4,0.0
Surgut,2018,4,269.95
Syktyvkar,2018,4,49.62
Tiksi,2018,4,32.99
Tomsk (Bogashevo),2018,4,152.69
Ust-Tsilma,2018,4,0.0
Tyumen (Roschino),2018,4,299.7
Ufa,2018,4,555.73
Khabarovsk (MVL),2018,4,3.29
Khabarovsk (New),2018,4,1879.1
Khanty-Mansiysk,2018,4,43.91
Khatanga,2018,4,0.0
Herpuchi,2018,4,0.0
Chelyabinsk (Balandino),2018,4,271.05
Reads (tub),2018,4,278.11
Çumikan,2018,4,0.0
Shakhtars'k,2018,4,0.0
Ekimçan,2018,4,0.0
Yuzhno-(Khomutovo),2018,4,740.51
Yakutsk,2018,4,848.08
Yamburg,2018,4,1.29
Yaroslavl (Tunoshna),2018,4,373.23
Abakan,2017,4,90.28
Anapa (Vitjazevo),2017,4,49.8
Arkhangelsk (Talagy),2017,4,218.1
Astrakhan (Narimanovo),2017,4,69.11
Novy Urengoy,2017,4,11.1
Blagoveshchensk,2017,4,336.1
Bugulma,2017,4,1.45
Vladivostok (Knevichi),2017,4,1894.36
Volgograd (Gumrak),2017,4,64.0
Vorkuta,2017,4,12.11
Voronezh (Chertovitskoe),2017,4,11.67
Ekaterinburg (Koltsovo),2017,4,1504.9
Ivanovo (Yuzhny),2017,4,146.5
Irkutsk,2017,4,848.33
Kazan,2017,4,0.0
Kemerovo,2017,4,473.49
Kogalym,2017,4,144.65
Komsomolsk-on-Amur,2017,4,206.9
Krasnodar (Paszkowski),2017,4,542.12
Krasnoyarsk (Emelyanovo),2017,4,1080.38
red,2017,4,0.72
Zabaykalsk,2017,4,56.8
Magadan (Falcon),2017,4,657.0
Mineral water,2017,4,111.3
Peaceful,2017,4,985.48
Moscow (Vnukovo),2017,4,4314.67
Moscow (Domodedovo),2017,4,10918.44
Moscow (Sheremetyevo),2017,4,23304.6
Murmansk,2017,4,160.9
Nadym,2017,4,28.03
Nizhnevartovsk,2017,4,332.4
Nizhny Novgorod (Strigino),2017,4,76.23
Nikolaevsk-on-Amur,2017,4,4.87
Novokuznetsk,2017,4,91.0
Novosibirsk (Tolmachyovo),2017,4,1904.5
New Urengoy,2017,4,366.5
Norilsk,2017,4,1226.59
Noyabrsk,2017,4,51.7
Omsk (central),2017,4,281.0
Orenburg (central),2017,4,92.49
Perm (Bolshoye Savino),2017,4,162.05
Petropavlovsk (Yelizovo),2017,4,586.61
Polar,2017,4,48.0
Rostov-on-Don,2017,4,355.57
Saint Petersburg (Pulkovo),2017,4,2572.0
Saratov (central),2017,4,38.2
Sochi,2017,4,848.88
Stavropol (Shpakovskoye),2017,4,64.0
Surgut,2017,4,278.3
Syktyvkar,2017,4,63.4
Tiksi,2017,4,31.44
Tomsk (Bogashevo),2017,4,156.12
Tyumen (Roschino),2017,4,349.1
Ufa,2017,4,375.25
Khabarovsk (MVL),2017,4,9.28
Khabarovsk (New),2017,4,2024.43
Khanty-Mansiysk,2017,4,68.48
Khatanga,2017,4,409.04
Chelyabinsk (Balandino),2017,4,226.25
Reads (tub),2017,4,280.62
Yuzhno-(Khomutovo),2017,4,819.62
Yakutsk,2017,4,783.5
Yamburg,2017,4,0.06
Yaroslavl (Tunoshna),2017,4,813.44
Abakan,2016,4,72.71
Anapa (Vitjazevo),2016,4,42.38
Arkhangelsk (Talagy),2016,4,225.9
Astrakhan (Narimanovo),2016,4,71.36
Novy Urengoy,2016,4,18.5
Blagoveshchensk,2016,4,244.4
Bugulma,2016,4,1.34
Vladivostok (Knevichi),2016,4,1839.61
Volgograd (Gumrak),2016,4,61.0
Vorkuta,2016,4,62.82
Voronezh (Chertovitskoe),2016,4,11.3
Ekaterinburg (Koltsovo),2016,4,1493.36
Ivanovo (Yuzhny),2016,4,63.12
Irkutsk,2016,4,694.48
Kazan,2016,4,149.26
Kemerovo,2016,4,417.88
Kogalym,2016,4,19.19
Komsomolsk-on-Amur,2016,4,234.3
Krasnodar (Paszkowski),2016,4,482.67
Krasnoyarsk (Emelyanovo),2016,4,1229.52
red,2016,4,0.69
Zabaykalsk,2016,4,59.76
Magadan (Falcon),2016,4,608.0
Mineral water,2016,4,116.5
Peaceful,2016,4,1042.48
Moscow (Vnukovo),2016,4,2892.6
Moscow (Domodedovo),2016,4,9364.91
Moscow (Sheremetyevo),2016,4,19383.1
Murmansk,2016,4,170.5
Nadym,2016,4,32.0
Nizhnevartovsk,2016,4,381.2
Nizhny Novgorod (Strigino),2016,4,103.88
Nikolaevsk-on-Amur,2016,4,5.79
Novokuznetsk,2016,4,78.8
Novosibirsk (Tolmachyovo),2016,4,1344.5
New Urengoy,2016,4,392.4
Norilsk,2016,4,1496.42
Noyabrsk,2016,4,49.59
Omsk (central),2016,4,262.0
Orenburg (central),2016,4,79.8
Perm (Bolshoye Savino),2016,4,145.95
Petropavlovsk (Yelizovo),2016,4,610.5
Polar,2016,4,88.0
Rostov-on-Don,2016,4,452.02
Saint Petersburg (Pulkovo),2016,4,2086.0
Saratov (central),2016,4,27.8
Sochi,2016,4,890.85
Stavropol (Shpakovskoye),2016,4,63.0
Surgut,2016,4,289.9
Syktyvkar,2016,4,82.92
Tiksi,2016,4,24.75
Tomsk (Bogashevo),2016,4,145.86
Tyumen (Roschino),2016,4,290.2
Ufa,2016,4,279.94
Khabarovsk (MVL),2016,4,4.11
Khabarovsk (New),2016,4,1940.49
Khanty-Mansiysk,2016,4,55.2
Khatanga,2016,4,233.12
Chelyabinsk (Balandino),2016,4,210.14
Reads (tub),2016,4,248.29
Yuzhno-(Khomutovo),2016,4,700.44
Yakutsk,2016,4,711.0
Yamburg,2016,4,0.07
Yaroslavl (Tunoshna),2016,4,216.73
Abakan,2015,4,82.12
Anapa (Vitjazevo),2015,4,37.63
Arkhangelsk (Talagy),2015,4,226.2
Astrakhan (Narimanovo),2015,4,81.49
Novy Urengoy,2015,4,27.7
Blagoveshchensk,2015,4,239.1
Bugulma,2015,4,0.28
Vladivostok (Knevichi),2015,4,2182.9
Volgograd (Gumrak),2015,4,71.0
Vorkuta,2015,4,34.75
Voronezh (Chertovitskoe),2015,4,5.95
Ekaterinburg (Koltsovo),2015,4,1428.15
Ivanovo (Yuzhny),2015,4,146.5
Irkutsk,2015,4,684.11
Kazan,2015,4,207.62
Kemerovo,2015,4,603.49
Kogalym,2015,4,30.3
Komsomolsk-on-Amur,2015,4,258.4
Krasnodar (Paszkowski),2015,4,462.3
Krasnoyarsk (Emelyanovo),2015,4,1142.61
red,2015,4,1.62
Zabaykalsk,2015,4,87.72
Magadan (Falcon),2015,4,629.0
Mineral water,2015,4,117.2
Peaceful,2015,4,1071.22
Moscow (Vnukovo),2015,4,3130.53
Moscow (Domodedovo),2015,4,10888.25
Moscow (Sheremetyevo),2015,4,15826.4
Murmansk,2015,4,147.2
Nadym,2015,4,35.81
Nizhnevartovsk,2015,4,293.2
Nizhny Novgorod (Strigino),2015,4,85.96
Nikolaevsk-on-Amur,2015,4,6.93
Novokuznetsk,2015,4,82.0
Novosibirsk (Tolmachyovo),2015,4,1720.7
New Urengoy,2015,4,358.0
Norilsk,2015,4,1288.14
Noyabrsk,2015,4,50.32
Omsk (central),2015,4,255.0
Orenburg (central),2015,4,81.06
Perm (Bolshoye Savino),2015,4,180.2
Petropavlovsk (Yelizovo),2015,4,606.97
Polar,2015,4,84.83
Rostov-on-Don,2015,4,394.0
Saint Petersburg (Pulkovo),2015,4,1980.0
Saratov (central),2015,4,44.1
Sochi,2015,4,144.55
Stavropol (Shpakovskoye),2015,4,70.0
Surgut,2015,4,335.5
Syktyvkar,2015,4,62.99
Tiksi,2015,4,24.0
Tomsk (Bogashevo),2015,4,141.06
Tyumen (Roschino),2015,4,327.4
Ufa,2015,4,312.44
Khabarovsk (MVL),2015,4,0.84
Khabarovsk (New),2015,4,2167.5
Khanty-Mansiysk,2015,4,54.28
Khatanga,2015,4,225.49
Chelyabinsk (Balandino),2015,4,196.22
Reads (tub),2015,4,252.2
Yuzhno-(Khomutovo),2015,4,713.2
Yakutsk,2015,4,768.29
Yamburg,2015,4,0.22
Yaroslavl (Tunoshna),2015,4,690.41
Abakan,2014,4,69.71
Anapa (Vitjazevo),2014,4,42.43
Arkhangelsk (Talagy),2014,4,206.4
Astrakhan (Narimanovo),2014,4,79.3
Novy Urengoy,2014,4,21.0
Blagoveshchensk,2014,4,213.83
Bugulma,2014,4,2.45
Vladivostok (Knevichi),2014,4,2411.9
Volgograd (Gumrak),2014,4,73.0
Vorkuta,2014,4,46.39
Voronezh (Chertovitskoe),2014,4,5.79
Ekaterinburg (Koltsovo),2014,4,1602.31
Ivanovo (Yuzhny),2014,4,148.6
Irkutsk,2014,4,874.88
Kazan,2014,4,290.88
Kemerovo,2014,4,514.29
Kogalym,2014,4,1.7
Komsomolsk-on-Amur,2014,4,254.56
Krasnodar (Paszkowski),2014,4,612.9
Krasnoyarsk (Emelyanovo),2014,4,1571.52
red,2014,4,2.5
Zabaykalsk,2014,4,88.69
Magadan (Falcon),2014,4,697.0
Mineral water,2014,4,108.5
Peaceful,2014,4,1253.75
Moscow (Vnukovo),2014,4,2519.93
Moscow (Domodedovo),2014,4,14121.12
Moscow (Sheremetyevo),2014,4,16924.1
Murmansk,2014,4,162.5
Nadym,2014,4,46.93
Nizhnevartovsk,2014,4,547.6
Nizhny Novgorod (Strigino),2014,4,82.4
Nikolaevsk-on-Amur,2014,4,10.58
Novokuznetsk,2014,4,92.0
Novosibirsk (Tolmachyovo),2014,4,2175.0
New Urengoy,2014,4,213.1
Norilsk,2014,4,1497.2
Noyabrsk,2014,4,69.53
Omsk (central),2014,4,254.0
Orenburg (central),2014,4,92.82
Perm (Bolshoye Savino),2014,4,212.33
Petropavlovsk (Yelizovo),2014,4,590.16
Polar,2014,4,32.67
Rostov-on-Don,2014,4,460.6
Saint Petersburg (Pulkovo),2014,4,2191.0
Saratov (central),2014,4,52.9
Sochi,2014,4,155.79
Stavropol (Shpakovskoye),2014,4,76.0
Surgut,2014,4,412.1
Syktyvkar,2014,4,70.72
Tiksi,2014,4,31.4
Tomsk (Bogashevo),2014,4,159.0
Tyumen (Roschino),2014,4,415.8
Ufa,2014,4,325.4
Khabarovsk (MVL),2014,4,3.26
Khabarovsk (New),2014,4,2592.18
Khanty-Mansiysk,2014,4,63.14
Khatanga,2014,4,205.82
Chelyabinsk (Balandino),2014,4,405.28
Reads (tub),2014,4,205.25
Yuzhno-(Khomutovo),2014,4,710.4
Yakutsk,2014,4,974.6
Yamburg,2014,4,1.52
Yaroslavl (Tunoshna),2014,4,625.13
Abakan,2013,4,77.41
Anapa (Vitjazevo),2013,4,40.17
Arkhangelsk (Talagy),2013,4,215.2
Astrakhan (Narimanovo),2013,4,84.4
Novy Urengoy,2013,4,38.7
Blagoveshchensk,2013,4,196.5
Bugulma,2013,4,3.69
Vladivostok (Knevichi),2013,4,2869.7
Volgograd (Gumrak),2013,4,65.0
Vorkuta,2013,4,78.14
Voronezh (Chertovitskoe),2013,4,6.15
Ekaterinburg (Koltsovo),2013,4,2026.23
Ivanovo (Yuzhny),2013,4,147.92
Irkutsk,2013,4,899.78
Kazan,2013,4,429.53
Kemerovo,2013,4,576.17
Kogalym,2013,4,48.6
Komsomolsk-on-Amur,2013,4,496.16
Krasnodar (Paszkowski),2013,4,568.04
Krasnoyarsk (Emelyanovo),2013,4,1070.77
red,2013,4,5.38
Zabaykalsk,2013,4,46.21
Magadan (Falcon),2013,4,821.0
Mineral water,2013,4,167.0
Peaceful,2013,4,1119.95
Moscow (Vnukovo),2013,4,3071.97
Moscow (Domodedovo),2013,4,13922.46
Moscow (Sheremetyevo),2013,4,18592.5
Murmansk,2013,4,162.7
Nadym,2013,4,45.81
Nizhnevartovsk,2013,4,534.4
Nizhny Novgorod (Strigino),2013,4,83.98
Nikolaevsk-on-Amur,2013,4,8.7
Novokuznetsk,2013,4,91.0
Novosibirsk (Tolmachyovo),2013,4,2372.0
New Urengoy,2013,4,270.8
Norilsk,2013,4,1588.43
Noyabrsk,2013,4,65.91
Omsk (central),2013,4,256.0
Orenburg (central),2013,4,88.9
Perm (Bolshoye Savino),2013,4,262.82
Petropavlovsk (Yelizovo),2013,4,648.38
Polar,2013,4,109.77
Rostov-on-Don,2013,4,539.0
Saint Petersburg (Pulkovo),2013,4,2178.0
Saratov (central),2013,4,50.6
Sochi,2013,4,426.0
Stavropol (Shpakovskoye),2013,4,85.0
Surgut,2013,4,402.2
Syktyvkar,2013,4,78.74
Tiksi,2013,4,4.6
Tomsk (Bogashevo),2013,4,150.0
Tyumen (Roschino),2013,4,442.7
Ufa,2013,4,299.53
Khabarovsk (MVL),2013,4,5.08
Khabarovsk (New),2013,4,2730.41
Khanty-Mansiysk,2013,4,76.89
Khatanga,2013,4,269.36
Chelyabinsk (Balandino),2013,4,244.9
Reads (tub),2013,4,159.36
Yuzhno-(Khomutovo),2013,4,819.7
Yakutsk,2013,4,880.17
Yamburg,2013,4,2.19
Yaroslavl (Tunoshna),2013,4,593.6
Abakan,2012,4,55.53
Anapa (Vitjazevo),2012,4,38.41
Arkhangelsk (Talagy),2012,4,221.6
Astrakhan (Narimanovo),2012,4,65.17
Novy Urengoy,2012,4,44.9
Blagoveshchensk,2012,4,151.8
Bugulma,2012,4,3.6
Vladivostok (Knevichi),2012,4,2612.5
Volgograd (Gumrak),2012,4,61.0
Vorkuta,2012,4,374.35
Voronezh (Chertovitskoe),2012,4,20.8
Ekaterinburg (Koltsovo),2012,4,2032.28
Ivanovo (Yuzhny),2012,4,0.0
Irkutsk,2012,4,1034.94
Kazan,2012,4,471.53
Kemerovo,2012,4,619.35
Kogalym,2012,4,109.9
Komsomolsk-on-Amur,2012,4,104.75
Krasnodar (Paszkowski),2012,4,629.48
Krasnoyarsk (Emelyanovo),2012,4,1376.26
red,2012,4,5.13
Zabaykalsk,2012,4,66.69
Magadan (Falcon),2012,4,588.0
Mineral water,2012,4,153.0
Peaceful,2012,4,1297.64
Moscow (Vnukovo),2012,4,3093.11
Moscow (Domodedovo),2012,4,14119.27
Moscow (Sheremetyevo),2012,4,25820.2
Murmansk,2012,4,118.2
Nadym,2012,4,54.11
Nizhnevartovsk,2012,4,685.5
Nizhny Novgorod (Strigino),2012,4,63.78
Nikolaevsk-on-Amur,2012,4,15.78
Novokuznetsk,2012,4,119.0
Novosibirsk (Tolmachyovo),2012,4,2159.4
New Urengoy,2012,4,270.4
Norilsk,2012,4,1965.45
Noyabrsk,2012,4,58.3
Omsk (central),2012,4,264.0
Orenburg (central),2012,4,77.98
Perm (Bolshoye Savino),2012,4,210.47
Petropavlovsk (Yelizovo),2012,4,762.08
Polar,2012,4,36.27
Rostov-on-Don,2012,4,458.6
Saint Petersburg (Pulkovo),2012,4,1987.0
Saratov (central),2012,4,44.2
Sochi,2012,4,173.0
Stavropol (Shpakovskoye),2012,4,78.0
Surgut,2012,4,363.3
Syktyvkar,2012,4,61.84
Tiksi,2012,4,65.8
Tomsk (Bogashevo),2012,4,149.0
Tyumen (Roschino),2012,4,535.9
Ufa,2012,4,286.97
Khabarovsk (MVL),2012,4,19.05
Khabarovsk (New),2012,4,2026.17
Khanty-Mansiysk,2012,4,71.37
Khatanga,2012,4,161.85
Chelyabinsk (Balandino),2012,4,240.83
Reads (tub),2012,4,164.91
Yuzhno-(Khomutovo),2012,4,976.8
Yakutsk,2012,4,901.31
Yamburg,2012,4,2.51
Yaroslavl (Tunoshna),2012,4,1596.2
Abakan,2011,4,72.4
Anapa (Vitjazevo),2011,4,0.0
Arkhangelsk (Talagy),2011,4,238.8
Astrakhan (Narimanovo),2011,4,55.43
Novy Urengoy,2011,4,50.7
Blagoveshchensk,2011,4,120.3
Bugulma,2011,4,3.42
Vladivostok (Knevichi),2011,4,2099.0
Volgograd (Gumrak),2011,4,67.0
Vorkuta,2011,4,68.99
Voronezh (Chertovitskoe),2011,4,14.24
Ekaterinburg (Koltsovo),2011,4,1935.51
Ivanovo (Yuzhny),2011,4,148.68
Irkutsk,2011,4,961.81
Kazan,2011,4,412.27
Kemerovo,2011,4,528.23
Kogalym,2011,4,189.8
Komsomolsk-on-Amur,2011,4,162.84
Krasnodar (Paszkowski),2011,4,658.33
Krasnoyarsk (Emelyanovo),2011,4,1153.64
red,2011,4,1.83
Zabaykalsk,2011,4,37.3
Magadan (Falcon),2011,4,438.0
Mineral water,2011,4,158.0
Peaceful,2011,4,1302.3
Moscow (Vnukovo),2011,4,2647.0
Moscow (Domodedovo),2011,4,13999.56
Moscow (Sheremetyevo),2011,4,20935.6
Murmansk,2011,4,163.4
Nadym,2011,4,63.82
Nizhnevartovsk,2011,4,468.4
Nizhny Novgorod (Strigino),2011,4,58.47
Nikolaevsk-on-Amur,2011,4,20.77
Novokuznetsk,2011,4,116.0
Novosibirsk (Tolmachyovo),2011,4,1563.4
New Urengoy,2011,4,200.1
Norilsk,2011,4,1881.42
Noyabrsk,2011,4,57.9
Omsk (central),2011,4,259.0
Orenburg (central),2011,4,67.87
Perm (Bolshoye Savino),2011,4,233.63
Petropavlovsk (Yelizovo),2011,4,613.6
Polar,2011,4,158.0
Rostov-on-Don,2011,4,330.9
Saint Petersburg (Pulkovo),2011,4,2396.0
Saratov (central),2011,4,56.2
Sochi,2011,4,208.0
Stavropol (Shpakovskoye),2011,4,65.0
Surgut,2011,4,347.9
Syktyvkar,2011,4,60.16
Tiksi,2011,4,39.5
Tomsk (Bogashevo),2011,4,132.0
Tyumen (Roschino),2011,4,423.5
Ufa,2011,4,256.49
Khabarovsk (MVL),2011,4,8.58
Khabarovsk (New),2011,4,2038.36
Khanty-Mansiysk,2011,4,64.55
Khatanga,2011,4,169.57
Chelyabinsk (Balandino),2011,4,228.03
Reads (tub),2011,4,121.88
Yuzhno-(Khomutovo),2011,4,1043.5
Yakutsk,2011,4,1039.31
Yamburg,2011,4,5.2
Yaroslavl (Tunoshna),2011,4,1030.4
Abakan,2010,4,108.7
Anapa (Vitjazevo),2010,4,25.25
Arkhangelsk (Talagy),2010,4,238.5
Astrakhan (Narimanovo),2010,4,71.97
Novy Urengoy,2010,4,47.7
Blagoveshchensk,2010,4,94.2
Bugulma,2010,4,2.05
Vladivostok (Knevichi),2010,4,2116.1
Volgograd (Gumrak),2010,4,50.0
Vorkuta,2010,4,72.73
Voronezh (Chertovitskoe),2010,4,10.59
Ekaterinburg (Koltsovo),2010,4,2085.42
Ivanovo (Yuzhny),2010,4,137.9
Irkutsk,2010,4,852.61
Kazan,2010,4,661.77
Kemerovo,2010,4,522.63
Kogalym,2010,4,201.4
Komsomolsk-on-Amur,2010,4,143.3
Krasnodar (Paszkowski),2010,4,583.0
Krasnoyarsk (Emelyanovo),2010,4,652.12
red,2010,4,0.59
Zabaykalsk,2010,4,56.6
Magadan (Falcon),2010,4,390.0
Mineral water,2010,4,108.0
Peaceful,2010,4,1363.3
Moscow (Vnukovo),2010,4,3125.82
Moscow (Domodedovo),2010,4,11103.62
Moscow (Sheremetyevo),2010,4,15065.7
Murmansk,2010,4,143.1
Nadym,2010,4,61.81
Nizhnevartovsk,2010,4,424.8
Nizhny Novgorod (Strigino),2010,4,65.4
Nikolaevsk-on-Amur,2010,4,107.01
Novokuznetsk,2010,4,85.0
Novosibirsk (Tolmachyovo),2010,4,1475.5
New Urengoy,2010,4,148.2
Norilsk,2010,4,1709.51
Noyabrsk,2010,4,65.5
Omsk (central),2010,4,228.0
Orenburg (central),2010,4,71.8
Perm (Bolshoye Savino),2010,4,178.56
Petropavlovsk (Yelizovo),2010,4,842.72
Polar,2010,4,119.7
Rostov-on-Don,2010,4,351.1
Saint Petersburg (Pulkovo),2010,4,1551.0
Saratov (central),2010,4,42.8
Sochi,2010,4,218.0
Stavropol (Shpakovskoye),2010,4,72.0
Surgut,2010,4,338.1
Syktyvkar,2010,4,52.8
Tiksi,2010,4,11.0
Tomsk (Bogashevo),2010,4,122.0
Tyumen (Roschino),2010,4,346.2
Ufa,2010,4,270.81
Khabarovsk (MVL),2010,4,10.1
Khabarovsk (New),2010,4,1846.59
Khanty-Mansiysk,2010,4,53.38
Khatanga,2010,4,147.99
Chelyabinsk (Balandino),2010,4,203.17
Reads (tub),2010,4,105.48
Yuzhno-(Khomutovo),2010,4,847.4
Yakutsk,2010,4,1082.4
Yamburg,2010,4,1.57
Yaroslavl (Tunoshna),2010,4,740.0
Abakan,2009,4,47.0
Anapa (Vitjazevo),2009,4,21.37
Arkhangelsk (Talagy),2009,4,221.2
Astrakhan (Narimanovo),2009,4,32.7
Novy Urengoy,2009,4,35.7
Blagoveshchensk,2009,4,65.0
Bugulma,2009,4,0.86
Vladivostok (Knevichi),2009,4,1330.2
Volgograd (Gumrak),2009,4,57.0
Vorkuta,2009,4,32.91
Voronezh (Chertovitskoe),2009,4,13.9
Ekaterinburg (Koltsovo),2009,4,967.84
Irkutsk,2009,4,1020.0
Kazan,2009,4,122.54
Kemerovo,2009,4,477.78
Kogalym,2009,4,239.8
Komsomolsk-on-Amur,2009,4,76.3
Krasnodar (Paszkowski),2009,4,546.0
Krasnoyarsk (Emelyanovo),2009,4,788.13
red,2009,4,1.18
Zabaykalsk,2009,4,130.0
Magadan (Falcon),2009,4,265.0
Mineral water,2009,4,81.0
Peaceful,2009,4,1270.3
Moscow (Vnukovo),2009,4,1935.51
Moscow (Domodedovo),2009,4,8318.28
Moscow (Sheremetyevo),2009,4,11585.2
Murmansk,2009,4,95.7
Nadym,2009,4,50.99
Nizhnevartovsk,2009,4,385.0
Nizhny Novgorod (Strigino),2009,4,43.7
Nikolaevsk-on-Amur,2009,4,113.7
Novokuznetsk,2009,4,99.0
Novosibirsk (Tolmachyovo),2009,4,1185.3
New Urengoy,2009,4,176.7
Norilsk,2009,4,1428.06
Noyabrsk,2009,4,106.0
Omsk (central),2009,4,194.0
Orenburg (central),2009,4,55.44
Perm (Bolshoye Savino),2009,4,129.14
Petropavlovsk (Yelizovo),2009,4,478.38
Polar,2009,4,328.6
Rostov-on-Don,2009,4,548.5
Saint Petersburg (Pulkovo),2009,4,1574.0
Saratov (central),2009,4,42.7
Sochi,2009,4,148.0
Stavropol (Shpakovskoye),2009,4,55.0
Surgut,2009,4,294.5
Syktyvkar,2009,4,46.09
Tiksi,2009,4,2.6
Tomsk (Bogashevo),2009,4,101.0
Tyumen (Roschino),2009,4,310.2
Ufa,2009,4,173.34
